,Unnamed: 0,rest_cnt,review_cnt,review_link,businessID,addr
0,0,1,8,https://www.yelp.com//biz/bombay-chaat-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,2UsE_jjwbG0EM0jnoVu9Uw,"801 N Fair Oaks Ave, Sunnyvale, CA 94085"
1,1,2,119,https://www.yelp.com//biz/arusuvai-santa-clara?osq=Indian+Vegetarian+Restaurant,LnnG-H0a3wMEQ2KetzGB6g,"2636 Homestead Rd, Santa Clara, CA 95051"
2,2,3,61,https://www.yelp.com//biz/mangoes-indian-cuisine-santa-clara-2?osq=Indian+Vegetarian+Restaurant,gviHU6-Sa2qSjzmyj04-NQ,"2725 El Camino Real, Santa Clara, CA 95051"
3,3,4,398,https://www.yelp.com//biz/deedees-santa-clara?osq=Indian+Vegetarian+Restaurant,cC8WVp58excxpmc4LcekIw,"341 Lafayette St, Santa Clara, CA 95050"
4,4,5,78,https://www.yelp.com//biz/kabila-sweets-and-restaurant-santa-clara-2?osq=Indian+Vegetarian+Restaurant,1JfgNHoXNOzNtVEJJnCxWw,"3064 El Camino Real, Santa Clara, CA 95051"
5,5,6,617,https://www.yelp.com//biz/sankranti-sunnyvale?osq=Indian+Vegetarian+Restaurant,cK5RYxizSBerq1_3KNCvTQ,"727 S Wolfe Rd, Sunnyvale, CA 94086"
6,6,7,307,https://www.yelp.com//biz/great-indian-cuisine-santa-clara?osq=Indian+Vegetarian+Restaurant,BYFGYvLARt3N0cyw-F3Nyg,"2026 Agnew Rd, Santa Clara, CA 95054"
7,7,8,222,https://www.yelp.com//biz/biryani-bowl-santa-clara-santa-clara-4?osq=Indian+Vegetarian+Restaurant,aKbPwlvqb5mskk7RxLcQsg,"1855 El Camino Real, Santa Clara, CA 95050"
8,8,9,204,https://www.yelp.com//biz/ganesha-indian-cuisine-sweets-and-catering-santa-clara-2?osq=Indian+Vegetarian+Restaurant,byofFGbt9vX4WHOFGHQ2mw,"1074 Kiely Blvd, Santa Clara, CA 95051"
9,9,10,161,https://www.yelp.com//biz/kettlee-santa-clara?osq=Indian+Vegetarian+Restaurant,VsC56CP--UQOQQtyWPP1rw,"1610 El Camino Real, Santa Clara, CA 95050"
10,10,11,1092,https://www.yelp.com//biz/merit-vegan-cuisine-sunnyvale?osq=Indian+Vegetarian+Restaurant,E7kHPV2jKP9KVkGi6XnYJQ,"548 Lawrence Expy, Sunnyvale, CA 94085"
11,11,12,193,https://www.yelp.com//biz/the-yellow-chilli-by-sanjeev-kapoor-santa-clara-2?osq=Indian+Vegetarian+Restaurant,ADuOd1FlfkjPxKjdO-f6Nw,"3555 Monroe St, Santa Clara, CA 95051"
12,12,13,395,https://www.yelp.com//biz/mayuri-indian-cuisine-santa-clara?osq=Indian+Vegetarian+Restaurant,BypEJ2j8BaOiGJ6XCWjLZA,"2232 El Camino Real, Santa Clara, CA 95050"
13,13,14,162,https://www.yelp.com//biz/igrill-santa-clara?osq=Indian+Vegetarian+Restaurant,f_7j8igzi-KVLOVepiOeMw,"3170 De La Cruz Blvd, Santa Clara, CA 95054"
14,14,15,1330,https://www.yelp.com//biz/ulavacharu-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,X7GqGhp7GaSrWseBbBrG2A,"685 E El Camino Real, Sunnyvale, CA 94087"
15,15,16,231,https://www.yelp.com//biz/amaravathi-indian-pure-vegetarian-restaurant-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,CgdIKTQhsobiKNFDQ8-KyQ,"673 Grape Ave, Sunnyvale, CA 94087"
16,16,17,57,https://www.yelp.com//biz/abhiruchi-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,Agj2VmR-jyGnL_SlzUbv-w,"893 E El Camino Real, Sunnyvale, CA 94087"
17,17,18,1358,https://www.yelp.com//biz/kabab-and-currys-santa-clara?osq=Indian+Vegetarian+Restaurant,TiRJUIDQyjIatt-msTSkQw,"1498 Isabella St, Santa Clara, CA 95050"
18,18,19,744,https://www.yelp.com//biz/indian-street-cafe-sunnyvale?osq=Indian+Vegetarian+Restaurant,153v5RZoJIJQpSfSVMFPDA,"927 E Arques Ave, Sunnyvale, CA 94085"
19,19,20,527,https://www.yelp.com//biz/mezbaan-santa-clara-3?osq=Indian+Vegetarian+Restaurant,QnTFIXa0_v-QrEwOCwK3eg,"3939 Rivermark Plz, Santa Clara, CA 95054"
20,20,21,50,https://www.yelp.com//biz/golkonda-indian-cuisine-santa-clara?osq=Indian+Vegetarian+Restaurant,3hOG1TQKCuSpynqXJyrMvQ,"5350 Great America Pkwy, Santa Clara, CA 95054"
21,21,22,173,https://www.yelp.com//biz/ugadi-sunnyvale?osq=Indian+Vegetarian+Restaurant,CaA3H63urW_sOoupkiEvvg,"950 W El Camino Real, Sunnyvale, CA 94087"
22,22,23,35,https://www.yelp.com//biz/dawat-biryani-palace-san-jose?osq=Indian+Vegetarian+Restaurant,VWwG1S22huw2LWLYC_GSWw,"2092 Concourse Dr, San Jose, CA 95131"
23,23,24,1383,https://www.yelp.com//biz/madras-cafe-sunnyvale?osq=Indian+Vegetarian+Restaurant,pBmVS5S3kDG8pNehjb5xxQ,"1177 W El Camino Real, Sunnyvale, CA 94087"
24,24,25,830,https://www.yelp.com//biz/chaats-and-currys-sunnyvale-6?osq=Indian+Vegetarian+Restaurant,fV2jmhZ0my_HJuA1MFIW6Q,"520 Lawrence Expy, Sunnyvale, CA 94085"
25,25,26,496,https://www.yelp.com//biz/swaad-indian-cuisine-san-jose?osq=Indian+Vegetarian+Restaurant,ix6wIYOKgQNLr8Nf4SDc6w,"498 N 13th St, San Jose, CA 95112"
26,26,27,148,https://www.yelp.com//biz/bhavikas-indian-vegetarian-food-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,YVdJ_wMGMciXqKbzDM6e8g,"1053 E El Camino Real, Sunnyvale, CA 94087"
27,27,28,189,https://www.yelp.com//biz/bangalore-cafe-santa-clara?osq=Indian+Vegetarian+Restaurant,df-mowUBsZd4cpYCbdKrqQ,"3077 El Camino Real, Santa Clara, CA 95051"
28,28,29,597,https://www.yelp.com//biz/paradise-biryani-pointe-santa-clara?osq=Indian+Vegetarian+Restaurant,FFnDIW-s3p_nwUjE4IMe2Q,"2961 El Camino Real, Santa Clara, CA 95051"
29,29,30,645,https://www.yelp.com//biz/thali-indian-vegetarian-sunnyvale?osq=Indian+Vegetarian+Restaurant,g4zRopbBVqckR5j9g0KaKw,"954 E El Camino Real, Sunnyvale, CA 94087"
30,30,31,477,https://www.yelp.com//biz/peacock-indian-cuisine-santa-clara-3?osq=Indian+Vegetarian+Restaurant,MR8fk34oZX_h2w44Ga1u1w,"2798 El Camino Real, Santa Clara, CA 95051"
31,31,32,494,https://www.yelp.com//biz/rajwadi-thali-sunnyvale?osq=Indian+Vegetarian+Restaurant,EE0yI1GeJmKGasn82-5jxg,"573 E El Camino Real, Sunnyvale, CA 94087"
32,32,33,634,https://www.yelp.com//biz/crepes-bistro-santa-clara-2?osq=Indian+Vegetarian+Restaurant,xhzCe8pboWsV1rReb2ps0A,"57 Washington St, Santa Clara, CA 95050"
33,33,34,936,https://www.yelp.com//biz/ananda-bhavan-sunnyvale?osq=Indian+Vegetarian+Restaurant,dACXo19AxFrTNiG1eWoF9w,"920E Arques Ave, Sunnyvale, CA 94085"
34,34,35,1455,https://www.yelp.com//biz/naan-n-masala-milpitas?osq=Indian+Vegetarian+Restaurant,1QJiMa54JzE3uuWhjs0EJg,"94 S Dempsey Rd, Milpitas, CA 95035"
35,35,36,109,https://www.yelp.com//biz/amruta-vilas-sunnyvale?osq=Indian+Vegetarian+Restaurant,KrTdQzeyoHb8AtPG_jgupw,"731 S Wolfe Rd, Sunnyvale, CA 94086"
36,36,37,562,https://www.yelp.com//biz/satkar-indian-cuisine-sunnyvale?osq=Indian+Vegetarian+Restaurant,r-RImBlPkvHT6CkJUiiBjQ,"1253 W El Camino Real, Sunnyvale, CA 94087"
37,37,38,416,https://www.yelp.com//biz/new-indian-cuisine-san-jose?osq=Indian+Vegetarian+Restaurant,2wZfJRZkqQ2V8_GZjlekJQ,"895 Willow St, San Jose, CA 95125"
38,38,39,919,https://www.yelp.com//biz/vegetarian-house-san-jose?osq=Indian+Vegetarian+Restaurant,cZ0fS7aLp3XajAUnxR122A,"520 E Santa Clara St, San Jose, CA 95112"
39,39,40,198,https://www.yelp.com//biz/loving-hut-valley-fair-santa-clara-2?osq=Indian+Vegetarian+Restaurant,du7geBVM1yyURLI8d9tHKg,"2855 Stevens Creek Blvd, Santa Clara, CA 95050"
40,40,41,72,https://www.yelp.com//biz/madurai-modern-cafe-sunnyvale?osq=Indian+Vegetarian+Restaurant,7EAdGkJqgJTmHTpkgMEAIg,"848 E Evelyn Ave, Sunnyvale, CA 94086"
41,41,42,587,https://www.yelp.com//biz/little-india-cafe-sunnyvale?osq=Indian+Vegetarian+Restaurant,LtIEogQDbjJ6MtlsjXjE4w,"415 N Mary Ave, Sunnyvale, CA 94085"
42,42,43,380,https://www.yelp.com//biz/komala-vilas-sunnyvale?osq=Indian+Vegetarian+Restaurant,NT8_4oSWilOnFdMohn7wrg,"1020 E El Camino Real, Sunnyvale, CA 94087"
43,43,44,85,https://www.yelp.com//biz/new-delhi-chaat-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,VO_tR6YkmDTqiZRhfxRObQ,"1175 E Homestead Rd, Sunnyvale, CA 94087"
44,44,45,133,https://www.yelp.com//biz/sri-surati-thali-milpitas?osq=Indian+Vegetarian+Restaurant,P3VAUBzS10UligI81YiQeg,"138 S Main St, Milpitas, CA 95035"
45,45,46,354,https://www.yelp.com//biz/naan-and-curry-san-jose?osq=Indian+Vegetarian+Restaurant,YIzrlmqLR_ebL6uF6y6nZw,"375 Saratoga Ave, San Jose, CA 95129"
46,46,47,43,https://www.yelp.com//biz/bharat-bazar-food-court-sunnyvale?osq=Indian+Vegetarian+Restaurant,gv-mkSmdL2LrdtTrshugrg,"1165 Reed Ave, Sunnyvale, CA 94086"
47,47,48,237,https://www.yelp.com//biz/shan-santa-clara?osq=Indian+Vegetarian+Restaurant,m0wS-hBbd02ZVxOttxRjHA,"3739 El Camino Real, Santa Clara, CA 95051"
48,48,49,617,https://www.yelp.com//biz/madurai-idli-kadai-sunnyvale?osq=Indian+Vegetarian+Restaurant,mAxjLUY9B3_eCudjq-jZ9w,"744 S Wolfe Rd, Sunnyvale, CA 94086"
49,49,50,684,https://www.yelp.com//biz/chaat-bhavan-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,YJyNlg9VUcn16jl2NLb2Qg,"976 E El Camino Real, Sunnyvale, CA 94087"
50,50,51,26,https://www.yelp.com//biz/indian-express-san-jose-8?osq=Indian+Vegetarian+Restaurant,23dvbpp8C6eRYev8gxtHxA,"2525 N 1st St, San Jose, CA 95134"
51,51,52,428,https://www.yelp.com//biz/tasty-indian-pizza-sunnyvale?osq=Indian+Vegetarian+Restaurant,jsJ6kK7-PLkqh1gqyWi-Ag,"528 Lawrence Expy, Sunnyvale, CA 94085"
52,52,53,315,https://www.yelp.com//biz/mirch-masala-milpitas-3?osq=Indian+Vegetarian+Restaurant,1BM22a4b0URq-BrA1AevdA,"80 Ranch Dr, Milpitas, CA 95035"
53,53,54,443,https://www.yelp.com//biz/sangeetha-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,7afTI8h9_bBvLcy5VJjeRw,"1103 E El Camino Real, Sunnyvale, CA 94087"
54,54,55,143,https://www.yelp.com//biz/bezawada-sunnyvale-3?osq=Indian+Vegetarian+Restaurant,vOcQn7qE3DwYQLnngx-H3g,"544 Lawrence Expy, Sunnyvale, CA 94085"
55,55,56,286,https://www.yelp.com//biz/punjab-cafe-san-jose-3?osq=Indian+Vegetarian+Restaurant,fk-pm3NPdbaHa-_Ji8a4CQ,"1699 W San Carlos St, San Jose, CA 95128"
56,56,57,162,https://www.yelp.com//biz/best-desi-pizza-campbell?osq=Indian+Vegetarian+Restaurant,peMpvUdvX0GNaDXQFRmZfw,"2360 S Bascom Ave, Campbell, CA 95008"
57,57,58,33,https://www.yelp.com//biz/sansar-indian-cuisine-and-banquet-hall-sunnyvale-3?osq=Indian+Vegetarian+Restaurant,tf_62dYJeYkpSspPMzjkdA,"1214 Apollo Way, Sunnyvale, CA 94085"
58,58,59,432,https://www.yelp.com//biz/the-green-barn-milpitas?osq=Indian+Vegetarian+Restaurant,ZEUvgBd8LepW67MP1wSV4w,"190 Ranch Dr, Milpitas, CA 95035"
59,59,60,487,https://www.yelp.com//biz/red-chillies-milpitas-2?osq=Indian+Vegetarian+Restaurant,cysMX_BG4hl7VjETg2jKvQ,"167 S Main St, Milpitas, CA 95035"
60,60,61,148,https://www.yelp.com//biz/via-mia-pizza-santa-clara-3?osq=Indian+Vegetarian+Restaurant,IqY0MOx5HufDon1pL2tvNA,"19998 E Homestead Rd, Cupertino, CA 95014"
61,61,62,151,https://www.yelp.com//biz/sris-kitchen-san-jose?osq=Indian+Vegetarian+Restaurant,4H9BQWOBBpEOu40WtFAzcw,"3730 N 1st St, San Jose, CA 95134"
62,62,63,685,https://www.yelp.com//biz/new-india-chaat-cafe-san-jose-2?osq=Indian+Vegetarian+Restaurant,maijjvJdSpyXXiAPvDbM6w,"1645 Flickinger Ave, San Jose, CA 95131"
63,63,64,405,https://www.yelp.com//biz/tirupathi-bhimas-milpitas?osq=Indian+Vegetarian+Restaurant,SNXfkx3EAyIZPEUUYAS15g,"1208 S Abel St, Milpitas, CA 95035"
64,64,65,164,https://www.yelp.com//biz/3-3-3-fremont?osq=Indian+Vegetarian+Restaurant,kQEPAzL76d_4F8RJwpmYCQ,"Fremont, CA 94539"
65,65,66,7,https://www.yelp.com//biz/pav-bhaji-hut-san-jose-2?osq=Indian+Vegetarian+Restaurant,vdRrFva2OVA7wWKHWQ1jgw,"326 Commercial St, San Jose, CA 95112"
66,66,67,468,https://www.yelp.com//biz/india-chaat-cuisine-sunnyvale?osq=Indian+Vegetarian+Restaurant,oQ5pgc_ddXmdl7TB4XelBw,"1082 E El Camino Real, Sunnyvale, CA 94087"
67,67,68,1165,https://www.yelp.com//biz/walia-ethiopian-cuisine-san-jose?osq=Indian+Vegetarian+Restaurant,srBchC4ngf1sRefmSGseJA,"2208 Business Cir, San Jose, CA 95128"
68,68,69,134,https://www.yelp.com//biz/delhiwala-chaat-sunnyvale-5?osq=Indian+Vegetarian+Restaurant,1bOP1Yzx0A8ekLfAlfXqdA,"296 N Fair Oaks Ave, Sunnyvale, CA 94085"
69,69,70,252,https://www.yelp.com//biz/delhi-chaat-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,nHCBcbPEu2lG3Sd_YllJiw,"603 Old San Francisco Rd, Sunnyvale, CA 94086"
70,70,71,65,https://www.yelp.com//biz/karimi-san-jose?osq=Indian+Vegetarian+Restaurant,lqX4Y44HufHN86aKKlZjcQ,"1086 N 1st St, San Jose, CA 95112"
71,71,72,961,https://www.yelp.com//biz/saravanaa-bhavan-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,-SypeXuCTmLkoaOlTPdxsg,"1305 S Mary Ave, Sunnyvale, CA 94087"
72,72,73,1088,https://www.yelp.com//biz/amber-india-restaurant-san-jose?osq=Indian+Vegetarian+Restaurant,Rv8I7CFH-c8FZ6aKnwnzIA,"377 Santana Row, San Jose, CA 95128"
73,73,74,76,https://www.yelp.com//biz/dosateria-cupertino?osq=Indian+Vegetarian+Restaurant,e1CGMCEqSHeti51WSxYOlQ,"20955 Stevens Creek Blvd, Cupertino, CA 95014"
74,74,75,824,https://www.yelp.com//biz/loving-hut-milpitas-milpitas?osq=Indian+Vegetarian+Restaurant,DxFt5dsEWPZRoFD6EQ_HnA,"516 Barber Ln, Milpitas, CA 95035"
75,75,76,234,https://www.yelp.com//biz/pesarattu-santa-clara?osq=Indian+Vegetarian+Restaurant,xRQqPYiuNuX9wqHc04c30A,"3379 E El Camino Real, Santa Clara, CA 95051"
76,76,77,232,https://www.yelp.com//biz/kings-of-punjab-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,2fP4o9uRvQcQ1V9l4bRfHg,"1635 Hollenbeck Ave, Sunnyvale, CA 94087"
77,77,78,124,https://www.yelp.com//biz/tandoori-grill-san-jose-2?osq=Indian+Vegetarian+Restaurant,gVQD67fN10BqWPt8tknRYA,"225 E Santa Clara St, San Jose, CA 95112"
78,78,79,970,https://www.yelp.com//biz/good-karma-artisan-ales-and-caf%C3%A9-san-jose?osq=Indian+Vegetarian+Restaurant,lhh0RQP0SRd1YTKwkEKZCg,"37 S 1st St, San Jose, CA 95113"
79,79,80,40,https://www.yelp.com//biz/moms-pot-biryani-san-jose?osq=Indian+Vegetarian+Restaurant,h-GR3FY-s_W5lSIxGsWkyQ,"1600 Saratoga Ave, San Jose, CA 95129"
80,80,81,41,https://www.yelp.com//biz/telangana-ruchulu-milpitas-3?osq=Indian+Vegetarian+Restaurant,nc_UtcNgGji3_AjR3d3rRw,"131 Ranch Dr, Milpitas, CA 95035"
81,81,82,1056,https://www.yelp.com//biz/el-camino-mongolian-bbq-santa-clara?osq=Indian+Vegetarian+Restaurant,DWcOXov9DcbB0Ukef8iTRg,"3380 El Camino Real, Santa Clara, CA 95051"
82,82,83,318,https://www.yelp.com//biz/ichaat-cafe-sunnyvale-3?osq=Indian+Vegetarian+Restaurant,54anJf73lEHBItVRPgRgrA,"1208 E Arques Ave, Sunnyvale, CA 94085"
83,83,84,69,https://www.yelp.com//biz/namaste-nepal-food-truck-mountain-view-2?osq=Indian+Vegetarian+Restaurant,tcQpN3rG3ktGmO2NH-OexA,"1288 W El Camino Real, Mountain View, CA 94040"
84,84,85,528,https://www.yelp.com//biz/curry-up-now-san-jose?osq=Indian+Vegetarian+Restaurant,DX58UgHggkDWH2IXVKoZ-A,"3250 Zanker Rd, San Jose, CA 95134"
85,85,86,227,https://www.yelp.com//biz/rasams-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,br6QmhdIWHt30bMJIWOmyQ,"193 S Murphy Ave, Sunnyvale, CA 94086"
86,86,87,940,https://www.yelp.com//biz/himalayan-kitchen-mountain-view?osq=Indian+Vegetarian+Restaurant,nI28-1V2ynropjYF_e_kSw,"820 E El Camino Real, Mountain View, CA 94040"
87,87,88,210,https://www.yelp.com//biz/everest-cuisine-mountain-view-2?osq=Indian+Vegetarian+Restaurant,R70kF3HWW64DdyJl4Ou8ag,"425 N Whisman Rd, Mountain View, CA 94043"
88,88,89,60,https://www.yelp.com//biz/curry-on-wheels-san-jose-2?osq=Indian+Vegetarian+Restaurant,WZHkoKf49noJYTXAwMUKGg,"326 Commercial St, San Jose, CA 95112"
89,89,90,189,https://www.yelp.com//biz/swathi-tiffins-sunnyvale?osq=Indian+Vegetarian+Restaurant,lAYTvrQ7P3n_k5c8m_MQNQ,"1202 Apollo Way, Sunnyvale, CA 94085"
90,90,91,136,https://www.yelp.com//biz/sagar-sweets-restaurant-san-jose?osq=Indian+Vegetarian+Restaurant,vJbbZX9tAuOxJ4omrnhKqw,"146 George St, San Jose, CA 95110"
91,91,92,231,https://www.yelp.com//biz/biryani-and-kababs-sunnyvale-2?osq=Indian+Vegetarian+Restaurant,p5OWwr5iJl1no0B7Fr3Rww,"897 E El Camino Real, Sunnyvale, CA 94087"
